County,Hispanic
"Douglas County, Minnesota",
"    Douglas County, Minnesota",815
"Faribault County, Minnesota",
"    Faribault County, Minnesota","1,013"
"Fillmore County, Minnesota",
"    Fillmore County, Minnesota",341
"Freeborn County, Minnesota",
"    Freeborn County, Minnesota","3,183"
"Goodhue County, Minnesota",
"    Goodhue County, Minnesota","1,797"
"Grant County, Minnesota",
"    Grant County, Minnesota",135
"Hennepin County, Minnesota",
"    Hennepin County, Minnesota","98,250"
"Houston County, Minnesota",
"    Houston County, Minnesota",243
"Hubbard County, Minnesota",
"    Hubbard County, Minnesota",489
"Isanti County, Minnesota",
"    Isanti County, Minnesota",896
"Itasca County, Minnesota",
"    Itasca County, Minnesota",618
"Jackson County, Minnesota",
"    Jackson County, Minnesota",401
"Kanabec County, Minnesota",
"    Kanabec County, Minnesota",238
"Kandiyohi County, Minnesota",
"    Kandiyohi County, Minnesota","5,916"
"Kittson County, Minnesota",
"    Kittson County, Minnesota",83
"Koochiching County, Minnesota",
"    Koochiching County, Minnesota",167
"Lac qui Parle County, Minnesota",
"    Lac qui Parle County, Minnesota",202
"Lake County, Minnesota",
"    Lake County, Minnesota",113
"Lake of the Woods County, Minnesota",
"    Lake of the Woods County, Minnesota",56
"Le Sueur County, Minnesota",
"    Le Sueur County, Minnesota","1,872"
"Lincoln County, Minnesota",
"    Lincoln County, Minnesota",107
"Lyon County, Minnesota",
"    Lyon County, Minnesota","1,744"
"McLeod County, Minnesota",
"    McLeod County, Minnesota","2,555"
"Mahnomen County, Minnesota",
"    Mahnomen County, Minnesota",154
"Marshall County, Minnesota",
"    Marshall County, Minnesota",390
"Martin County, Minnesota",
"    Martin County, Minnesota","1,320"
"Meeker County, Minnesota",
"    Meeker County, Minnesota",950
"Mille Lacs County, Minnesota",
"    Mille Lacs County, Minnesota",481
"Morrison County, Minnesota",
"    Morrison County, Minnesota",633
"Mower County, Minnesota",
"    Mower County, Minnesota","5,081"
"Murray County, Minnesota",
"    Murray County, Minnesota",382
"Nicollet County, Minnesota",
"    Nicollet County, Minnesota","1,800"
"Nobles County, Minnesota",
"    Nobles County, Minnesota","7,271"
"Norman County, Minnesota",
"    Norman County, Minnesota",288
"Olmsted County, Minnesota",
"    Olmsted County, Minnesota","9,196"
"Otter Tail County, Minnesota",
"    Otter Tail County, Minnesota","2,216"
"Pennington County, Minnesota",
"    Pennington County, Minnesota",671
"Pine County, Minnesota",
"    Pine County, Minnesota",713
"Pipestone County, Minnesota",
"    Pipestone County, Minnesota",804
"Polk County, Minnesota",
"    Polk County, Minnesota","1,999"
"Pope County, Minnesota",
"    Pope County, Minnesota",191
"Ramsey County, Minnesota",
"    Ramsey County, Minnesota","45,034"
"Red Lake County, Minnesota",
"    Red Lake County, Minnesota",103
"Redwood County, Minnesota",
"    Redwood County, Minnesota",496
"Renville County, Minnesota",
"    Renville County, Minnesota","1,319"
"Rice County, Minnesota",
"    Rice County, Minnesota","6,783"
"Rock County, Minnesota",
"    Rock County, Minnesota",364
"Roseau County, Minnesota",
"    Roseau County, Minnesota",238
"St. Louis County, Minnesota",
"    St. Louis County, Minnesota","3,603"
"Scott County, Minnesota",
"    Scott County, Minnesota","9,008"
"Sherburne County, Minnesota",
"    Sherburne County, Minnesota","2,820"
"Sibley County, Minnesota",
"    Sibley County, Minnesota","1,315"
"Stearns County, Minnesota",
"    Stearns County, Minnesota","6,951"
"Steele County, Minnesota",
"    Steele County, Minnesota","3,140"
"Stevens County, Minnesota",
"    Stevens County, Minnesota",986
"Swift County, Minnesota",
"    Swift County, Minnesota",662
"Todd County, Minnesota",
"    Todd County, Minnesota","2,208"
"Traverse County, Minnesota",
"    Traverse County, Minnesota",197
"Wabasha County, Minnesota",
"    Wabasha County, Minnesota",708
"Wadena County, Minnesota",
"    Wadena County, Minnesota",273
"Waseca County, Minnesota",
"    Waseca County, Minnesota","1,271"
"Washington County, Minnesota",
"    Washington County, Minnesota","13,094"
"Watonwan County, Minnesota",
"    Watonwan County, Minnesota","3,227"
"Wilkin County, Minnesota",
"    Wilkin County, Minnesota",211
"Winona County, Minnesota",
"    Winona County, Minnesota","1,889"
"Wright County, Minnesota",
"    Wright County, Minnesota","4,697"
"Yellow Medicine County, Minnesota",
"    Yellow Medicine County, Minnesota",448
"Alamance County, North Carolina",
"    Alamance County, North Carolina","24,703"
"Alexander County, North Carolina",
"    Alexander County, North Carolina","1,836"
"Alleghany County, North Carolina",
"    Alleghany County, North Carolina","1,288"
"Anson County, North Carolina",
"    Anson County, North Carolina",665
"Ashe County, North Carolina",
"    Ashe County, North Carolina","1,519"
"Avery County, North Carolina",
"    Avery County, North Carolina",987
"Beaufort County, North Carolina",
"    Beaufort County, North Carolina","3,433"
"Bertie County, North Carolina",
"    Bertie County, North Carolina",330
"Bladen County, North Carolina",
"    Bladen County, North Carolina","2,546"
"Brunswick County, North Carolina",
"    Brunswick County, North Carolina","7,420"
"Buncombe County, North Carolina",
"    Buncombe County, North Carolina","21,922"
